"","TimeStep","MP","Variable","Value"
"1",1950,"Historical","Biomass",27196.265106288
"2",1951,"Historical","Biomass",27747.2884650255
"3",1952,"Historical","Biomass",28152.043424538
"4",1953,"Historical","Biomass",28659.0341968373
"5",1954,"Historical","Biomass",29130.8944228137
"6",1955,"Historical","Biomass",29374.2266779136
"7",1956,"Historical","Biomass",29275.6502079885
"8",1957,"Historical","Biomass",29114.2423027913
"9",1958,"Historical","Biomass",28496.3182930053
"10",1959,"Historical","Biomass",28102.4377447048
"11",1960,"Historical","Biomass",27630.6172733293
"12",1961,"Historical","Biomass",27121.9216024122
"13",1962,"Historical","Biomass",26449.7582382566
"14",1963,"Historical","Biomass",25907.0599703554
"15",1964,"Historical","Biomass",25502.8095396871
"16",1965,"Historical","Biomass",25021.695255107
"17",1966,"Historical","Biomass",24493.2832274383
"18",1967,"Historical","Biomass",23993.1780628706
"19",1968,"Historical","Biomass",23341.3265094525
"20",1969,"Historical","Biomass",22573.6050368863
"21",1970,"Historical","Biomass",22185.996802778
"22",1971,"Historical","Biomass",21858.538380785
"23",1972,"Historical","Biomass",21536.2030259887
"24",1973,"Historical","Biomass",21205.9656432922
"25",1974,"Historical","Biomass",20925.1063990589
"26",1975,"Historical","Biomass",20381.6761143535
"27",1976,"Historical","Biomass",19638.977049987
"28",1977,"Historical","Biomass",18938.2630054265
"29",1978,"Historical","Biomass",17911.8026552973
"30",1979,"Historical","Biomass",16570.9064660334
"31",1980,"Historical","Biomass",15316.4609190778
"32",1981,"Historical","Biomass",13872.6239725093
"33",1982,"Historical","Biomass",9150.97802210771
"34",1983,"Historical","Biomass",8857.50692700745
"35",1984,"Historical","Biomass",9595.11045406463
"36",1985,"Historical","Biomass",7936.08349286701
"37",1986,"Historical","Biomass",4938.40758001819
"38",1987,"Historical","Biomass",4502.58263637493
"39",1988,"Historical","Biomass",4460.07758759385
"40",1989,"Historical","Biomass",3839.21047019135
"41",1990,"Historical","Biomass",2505.94524356238
"42",1991,"Historical","Biomass",2593.93336502376
"43",1992,"Historical","Biomass",2612.86887831266
"44",1993,"Historical","Biomass",2395.22899482142
"45",1994,"Historical","Biomass",2273.21392847184
"46",1995,"Historical","Biomass",2075.27292974568
"47",1996,"Historical","Biomass",2024.04490896451
"48",1997,"Historical","Biomass",2123.60814565758
"49",1998,"Historical","Biomass",2822.84344172866
"50",1999,"Historical","Biomass",3798.36629894995
"51",2000,"Historical","Biomass",4570.38715811451
"52",2001,"Historical","Biomass",4682.44737288007
"53",2002,"Historical","Biomass",4390.0099199901
"54",2003,"Historical","Biomass",4118.55040413437
"55",2004,"Historical","Biomass",4373.42183583393
"56",2005,"Historical","Biomass",3047.74738658812
"57",2006,"Historical","Biomass",4582.03872175143
"58",2007,"Historical","Biomass",7086.40869944516
"59",2008,"Historical","Biomass",9453.35704856277
"60",2009,"Historical","Biomass",7886.1972203254
"61",2010,"Historical","Biomass",3950.48328983883
"62",2011,"Historical","Biomass",3594.18091490977
